id,expansion,tier,type,name,effect
MorbidGyre-WE,WE,2,Power,Tödlicher Mahlstrom,"
      <p>
        <b>Verhindern:</b> Bezahle 7 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>Zeit 1:</b> SPEZIAL 2. Werft insgesamt 3 Karten eurer Wahl von der Hand ab.
      </p>
    "
Mutilate-WE,WE,2,Attack,Verstümmeln,"
      <p>
        SPEZIAL 1.<br/>
        Wählt insgesamt 2 gebundene Zauber und werft sie ab. Fügt 1 Spieler eurer Wahl 2 Schaden zu.
      </p>
    "
NullScion-WE,WE,2,Minion,Abkömmling der Leere,"
      <p>
        <b>Ansturm:</b> SPEZIAL 1.
      </p>
    "
Smite-WE,WE,2,Attack,Niederschmettern,"
      <p>
        SPEZIAL 2.<br/>
        Fügt der <i>Feste der letzten Ruhe</i> 2 Schaden zu.
      </p>
    "
ApocalypseRitual-WE,WE,3,Power,Apokalyptisches Ritual,"
      <p>
        <b>Verhindern:</b> Bezahle 8 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>Zeit 2:</b> Fügt der <i>Feste</i> 5 Schaden für jede Erzfeind-Reihenfolgekarte im Ablagestapel zu.
      </p>
    "
Banish-WE,WE,3,Attack,Verbannen,"
      <p>
        SPEZIAL 2.<br/>
        Wählt den Spieler mit den meisten gebundenen Zaubern. Fügt diesem Spieler X Schaden zu.
        X = Anzahl gebundene Zauber dieses Spielers.
      </p>
    "
CataclysmicFate-WE,WE,3,Power,Verheerendes Schicksal,"
      <p>
        <b>Verhindern:</b> Wähle 1 deiner gebundenen Zauber mit <span class=""aether"">&AElig;</span>-Kosten von 5 oder mehr. Zerstöre ihn und 1 Riss,
        an den er gebunden ist.<br/>
        <br/>
        <b>Zeit 1:</b> Fügt dem Spieler mit dem geringsten übrigen Leben 4 Schaden zu.
      </p>
    "
MonstrosityofOmens-WE,WE,3,Minion,Das Omen,"
      <p>
        <b>Dauerhaft:</b> Wenn du diesem MONSTER Schaden zufügst, fügst du nur 1 Schaden zu.<br />
        <br />
        <b>Ansturm:</b> Fügr der <i>Feste</i> Schaden in Höhe des aktuellen Lebens dieses MONSTERS zu.
      </p>
    "
Engulf-WE,WE,3,Attack,Verschlingen,"
      <p>
        Nehmt den zuletzt abgelegten ANGRIFF im Erzfeind-Ablagestapel und führt ihn erneut aus.
      </p>
    "
Quell-WE,WE,3,Attack,Bändigen,"
      <p>
        Fügt der <i>Feste der letzten Ruhe</i> 7 Schaden zu.
        <span class=""or"">ODER</span>
        SPEZIAL 3.
      </p>
    "
Throttle-WE,WE,3,Attack,Erdrosseln,"
      <p>
        SPEZIAL 2.<br/>
        Wählt 1 Spieler. Dieser Spieler zerstört 3 Karten seiner Wahl auf der Hand mit den höchsten <span class=""aether"">&AElig;</span>-Kosten.
      </p>
    "
WitheringBeam-WE,WE,3,Power,Vernichtender Strahl,"
      <p>
        <b>Zeit 2:</b> SPEZIAL 2. Wählt die ingesamt 2 gebundenen Zauber mit den höchsten <span class=""aether"">&AElig;</span>-Kosten. Zerstört sie.
      </p>
    "
