id,expansion,tier,type,name,effect
Mutilate-WE,WE,2,Attack,Okaleczenie,"
      <p>
        Wyzwolenie.<br />
        <br />
        Gracze wspólnie odrzucają 2 przygotowane Zaklęcia. Dowolny gracz otrzymuje 2 obrażenia.
      </p>
    "
NullScion-WE,WE,2,Minion,Potomek Nicości,"
      <p>
        <b>TRWAŁY:</b> Wyzwolenie.
      </p>
    "
Smite-WE,WE,2,Attack,Porażenie,"
      <p>
        Dwukrotne Wyzwolenie.<br />
        <br />
        Gravehold otrzymuje 2 obrażenia.
      </p>
    "
ApocalypseRitual-WE,WE,3,Power,Rytuał Apokalipsy,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Wydaj 8 <span class=""aether"">&AElig;</span>.<br />
        <br />
        <b>MOC 2:</b> Gravehold otrzymuje 5 obrażeń za każdą kartę tury Nemezis w stosie odrzuconych kart tur.
      </p>
    "
Banish-WE,WE,3,Attack,Wygnanie,"
      <p>
        Dwukrotne Wyzwolenie.<br />
        <br />
        Gracz z największą liczbą przygotowanych Zaklęć otrzymuje po 1 obrażeniu za każde z nich.
      </p>
    "
CataclysmicFate-WE,WE,3,Power,Skazanie na Zagładę,"
      <p>
        <b>ABY ODRZUCIĆ:</b> Zniszcz przygotowane Zaklęcie o koszcie 5 lub więcej <span class=""aether"">&AElig;</span> oraz Bramę, 
        na której było ono przygotowane.<br />
        <br />
        <b>MOC 1:</b> Gracz z najmniejszą liczbą punktów życia otrzymuje 4 obrażenia.
      </p>
    "
MonstrosityofOmens-WE,WE,3,Minion,Abominacja Omenów,"
      <p>
        Wartość obrażeń zadawanych temu Poplecznikowi jest obniżana do 1 obrażenia.<br />
        <br />
        <b>TRWAŁY:</b> Gravehold otrzymuje obrażenia w liczbie równej aktualnej liczbie punktów życia tego Poplecznika.
      </p>
    "
Engulf-WE,WE,3,Attack,Przytłoczenie,"
      <p>
        Rozpatrz ponownie ostatnią odrzuconą kartę Ataku ze stosu kart odrzuconych Nemezis.
      </p>
    "
Quell-WE,WE,3,Attack,Stłamszenie,"
      <p>
        Gravehold otrzymuje 7 obrażeń.<br />
        <br />
        <span class=""or"">ALBO</span><br />
        <br />
        Trzykrotne Wyzwolenie.
      </p>
    "
Throttle-WE,WE,3,Attack,Przyduszenie,"
      <p>
        Dwukrotne Wyzwolenie.<br />
        <br />
        Dowolny gracz niszczy trzy karty o najwyższej wartości, które ma na ręce.
      </p>
    "
WitheringBeam-WE,WE,3,Power,Promień Uwiądu,"
      <p>
        <b>MOC 2:</b> Dwukrotne Wyzwolenie. Gracze wspólnie niszczą 2 przygotowane Zaklęcia o najwyższej wartości.
      </p>
    "
